,Match_number,Match_venue,Match_time,Toss_winner,Toss_decision,Team1,Team1_score,Team2,Team2_score,Winning_team,Winning_margin,year,Stadium,City
401,Eliminator,"Feroz Shah Kotla, Delhi",Night,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,132,Rajasthan Royals,135,Rajasthan Royals,4 wickets ,2013,Feroz Shah Kotla, Delhi
402,Qualifier 2,"Eden Gardens, Kolkata",Night,Rajasthan Royals,Bat,Rajasthan Royals,165,Mumbai Indians,169,Mumbai Indians,4 wickets ,2013,Eden Gardens, Kolkata
403,Final,"Eden Gardens, Kolkata",Night,Mumbai Indians,Bat,Mumbai Indians,148,Chennai Super Kings,125,Mumbai Indians,23 runs,2013,Eden Gardens, Kolkata
404,1st match,"Sheikh Zayed Stadium, Abu Dhabi",Night,Kolkata Knight Riders,Bat,Kolkata Knight Riders,163,Mumbai Indians,122,Kolkata Knight Riders,41 runs,2014,Sheikh Zayed Stadium, Abu Dhabi
405,2nd match,Sharjah Cricket Stadium,Night,Royal Challengers Bangalore,Field,Delhi Daredevils,145,RCB,146,Royal Challengers Bangalore,8 wickets,2014,Sharjah Cricket Stadium,Sharjah
406,3rd match,"Sheikh Zayed Stadium, Abu Dhabi", ,Chennai Super Kings,Bat,Chennai Super Kings,205,Kings XI Punjab,206,Kings XI Punjab,6 wickets,2014,Sheikh Zayed Stadium, Abu Dhabi
407,4th match,"Sheikh Zayed Stadium, Abu Dhabi",Night,Rajasthan Royals,Field,Sunrisers Hyderabad,133,Rajasthan Royals,135,Rajasthan Royals,4 wickets,2014,Sheikh Zayed Stadium, Abu Dhabi
408,5th match,Dubai International Cricket Stadium, ,Royal Challengers Bangalore,Field,Mumbai Indians,115,RCB,116,Royal Challengers Bangalore,7 wickets,2014,Dubai International Cricket Stadium,Dubai
409,6th match,Dubai International Cricket Stadium,Night,Kolkata Knight Riders,Bat,Kolkata Knight Riders,166,Delhi Daredevils,167,Delhi Daredevils,4 wickets,2014,Dubai International Cricket Stadium,Dubai
410,7th match,Sharjah Cricket Stadium,Night,Kings XI Punjab,Field,Rajasthan Royals,191,Kings XI Punjab,193,Kings XI Punjab,7 wickets,2014,Sharjah Cricket Stadium,Sharjah
411,8th match,"Sheikh Zayed Stadium, Abu Dhabi",Night,Chennai Super Kings,Bat,Chennai Super Kings,177,Delhi Daredevils,84,Chennai Super Kings,93 runs,2014,Sheikh Zayed Stadium, Abu Dhabi
412,9th match,Sharjah Cricket Stadium,Night,Sunrisers Hyderabad,Field,Kings XI Punjab,193,Sunrisers Hyderabad,121,Kings XI Punjab,72 runs,2014,Sharjah Cricket Stadium,Sharjah
413,10th match,Dubai International Cricket Stadium,Night,Rajasthan Royals,Field,Chennai Super Kings,140,Rajasthan Royals,133,Chennai Super Kings,7 runs,2014,Dubai International Cricket Stadium,Dubai
414,11th match,Sharjah Cricket Stadium,Night,Royal Challengers Bangalore,Field,Kolkata Knight Riders,150,RCB,148,Kolkata Knight Riders,2 runs,2014,Sharjah Cricket Stadium,Sharjah
415,12th match,Dubai International Cricket Stadium, ,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,184,Delhi Daredevils,180,Sunrisers Hyderabad,4 runs,2014,Dubai International Cricket Stadium,Dubai
416,13th match,Dubai International Cricket Stadium,Night,Mumbai Indians,Bat,Mumbai Indians,141,Chennai Super Kings,142,Chennai Super Kings,7 wickets,2014,Dubai International Cricket Stadium,Dubai
417,14th match,"Sheikh Zayed Stadium, Abu Dhabi", ,Rajasthan Royals,Field,RCB,70,Rajasthan Royals,71,Rajasthan Royals,6 wickets,2014,Sheikh Zayed Stadium, Abu Dhabi
418,15th match,"Sheikh Zayed Stadium, Abu Dhabi",Night,Kolkata Knight Riders,Field,Kings XI Punjab,132,Kolkata Knight Riders,109,Kings XI Punjab,23 runs,2014,Sheikh Zayed Stadium, Abu Dhabi
419,16th match,Sharjah Cricket Stadium, ,Mumbai Indians,Bat,Mumbai Indians,125,Delhi Daredevils,126,Delhi Daredevils,6 wickets,2014,Sharjah Cricket Stadium,Sharjah
420,17th match,Sharjah Cricket Stadium,Night,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,145,Chennai Super Kings,146,Chennai Super Kings,5 wickets,2014,Sharjah Cricket Stadium,Sharjah
421,18th match,Dubai International Cricket Stadium,Night,Kings XI Punjab,Field,RCB,124,Kings XI Punjab,127,Kings XI Punjab,5 wickets,2014,Dubai International Cricket Stadium,Dubai
422,19th match,"Sheikh Zayed Stadium, Abu Dhabi",Night,Rajasthan Royals,Bat,Rajasthan Royals,152,Kolkata Knight Riders,152,Match tied ,Match tied ,2014,Sheikh Zayed Stadium, Abu Dhabi
423,20th match,Dubai International Cricket Stadium,Night,Mumbai Indians,Field,Sunrisers Hyderabad,172,Mumbai Indians,157,Sunrisers Hyderabad,15 runs,2014,Dubai International Cricket Stadium,Dubai
424,21st match,"JSCA International Stadium Complex, Ranchi",Night,Chennai Super Kings,Bat,Chennai Super Kings,148,Kolkata Knight Riders,114,Chennai Super Kings,34 runs,2014,JSCA International Stadium Complex, Ranchi
425,22nd match,"Wankhede Stadium, Mumbai",Evening,Kings XI Punjab,Bat,Kings XI Punjab,168,Mumbai Indians,170,Mumbai Indians,5 wickets,2014,Wankhede Stadium, Mumbai
426,23rd match,"Feroz Shah Kotla, Delhi",Night,Rajasthan Royals,Field,Delhi Daredevils,152,Rajasthan Royals,156,Rajasthan Royals,7 wickets,2014,Feroz Shah Kotla, Delhi
427,24th match,"M Chinnaswamy Stadium, Bangalore",Night,Royal Challengers Bangalore,Field,Sunrisers Hyderabad,155,RCB,158,Royal Challengers Bangalore,4 wickets,2014,M Chinnaswamy Stadium, Bangalore
428,25th match,"Sardar Patel Stadium, Motera, Ahmedabad",Evening,Kolkata Knight Riders,Field,Rajasthan Royals,170,Kolkata Knight Riders,160,Rajasthan Royals,10 runs,2014,Sardar Patel Stadium, Motera
429,26th match,"Feroz Shah Kotla, Delhi",Night,Chennai Super Kings,Field,Delhi Daredevils,178,Chennai Super Kings,181,Chennai Super Kings,8 wickets,2014,Feroz Shah Kotla, Delhi
430,27th match,"Wankhede Stadium, Mumbai",Night,Royal Challengers Bangalore,Field,Mumbai Indians,187,RCB,168,Mumbai Indians,19 runs,2014,Wankhede Stadium, Mumbai
431,28th match,"Feroz Shah Kotla, Delhi",Evening,Delhi Daredevils,Bat,Delhi Daredevils,160,Kolkata Knight Riders,161,Kolkata Knight Riders,8 wickets,2014,Feroz Shah Kotla, Delhi
432,29th match,"Barabati Stadium, Cuttack",Night,Chennai Super Kings,Field,Kings XI Punjab,231,Chennai Super Kings,187,Kings XI Punjab,44 runs,2014,Barabati Stadium, Cuttack
433,30th match,"Sardar Patel Stadium, Motera, Ahmedabad",Night,Rajasthan Royals,Field,Sunrisers Hyderabad,134,Rajasthan Royals,102,Sunrisers Hyderabad,32 runs,2014,Sardar Patel Stadium, Motera
434,31st match,"M Chinnaswamy Stadium, Bangalore",Night,Royal Challengers Bangalore,Field,Kings XI Punjab,198,RCB,166,Kings XI Punjab,32 runs,2014,M Chinnaswamy Stadium, Bangalore
435,32nd match,"Feroz Shah Kotla, Delhi",Evening,Sunrisers Hyderabad,Field,Delhi Daredevils,143,Sunrisers Hyderabad,44,Sunrisers Hyderabad,8 wickets ,2014,Feroz Shah Kotla, Delhi
436,33rd match,"Wankhede Stadium, Mumbai",Night,Chennai Super Kings,Field,Mumbai Indians,157,Chennai Super Kings,160,Chennai Super Kings,4 wickets,2014,Wankhede Stadium, Mumbai
437,34th match,"Barabati Stadium, Cuttack",Evening,Kolkata Knight Riders,Field,Kings XI Punjab,149,Kolkata Knight Riders,150,Kolkata Knight Riders,9 wickets,2014,Barabati Stadium, Cuttack
438,35th match,"M Chinnaswamy Stadium, Bangalore",Night,Royal Challengers Bangalore,Bat,RCB,190,Rajasthan Royals,191,Rajasthan Royals,5 wickets,2014,M Chinnaswamy Stadium, Bangalore
439,36th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,157,Mumbai Indians,160,Mumbai Indians,7 wickets,2014,Rajiv Gandhi International Stadium, Uppal
440,37th match,"JSCA International Stadium Complex, Ranchi",Evening,Rajasthan Royals,Bat,Rajasthan Royals,148,Chennai Super Kings,149,Chennai Super Kings,5 wickets,2014,JSCA International Stadium Complex, Ranchi
441,38th match,"M Chinnaswamy Stadium, Bangalore",Night,Delhi Daredevils,Field,RCB,186,Delhi Daredevils,170,Royal Challengers Bangalore,16 runs,2014,M Chinnaswamy Stadium, Bangalore
442,39th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Evening,Kings XI Punjab,Field,Sunrisers Hyderabad,205,Kings XI Punjab,211,Kings XI Punjab,6 wickets,2014,Rajiv Gandhi International Stadium, Uppal
443,40th match,"Barabati Stadium, Cuttack",Night,Kolkata Knight Riders,Field,Mumbai Indians,141,Kolkata Knight Riders,142,Kolkata Knight Riders,6 wickets,2014,Barabati Stadium, Cuttack
444,41st match,"Sardar Patel Stadium, Motera, Ahmedabad",Night,Delhi Daredevils,Field,Rajasthan Royals,201,Delhi Daredevils,139,Rajasthan Royals,62 runs,2014,Sardar Patel Stadium, Motera
445,42nd match,"JSCA International Stadium Complex, Ranchi",Evening,Chennai Super Kings,Bat,Chennai Super Kings,138,RCB,142,Royal Challengers Bangalore,5 wickets,2014,JSCA International Stadium Complex, Ranchi
446,43rd match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Night,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,142,Kolkata Knight Riders,146,Kolkata Knight Riders,7 wickets,2014,Rajiv Gandhi International Stadium, Uppal
447,44th match,"Sardar Patel Stadium, Motera, Ahmedabad",Evening,Mumbai Indians,Bat,Mumbai Indians,178,Rajasthan Royals,153,Mumbai Indians,25 runs,2014,Sardar Patel Stadium, Motera
448,45th match,"Feroz Shah Kotla, Delhi",Night,Kings XI Punjab,Field,Delhi Daredevils,164,Kings XI Punjab,165,Kings XI Punjab,4 wickets,2014,Feroz Shah Kotla, Delhi
449,46th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Evening,Royal Challengers Bangalore,Bat,RCB,160,Sunrisers Hyderabad,161,Sunrisers Hyderabad,7 wickets,2014,Rajiv Gandhi International Stadium, Uppal
450,47th match,"Eden Gardens, Kolkata",Night,Kolkata Knight Riders,Field,Chennai Super Kings,154,Kolkata Knight Riders,156,Kolkata Knight Riders,8 wickets,2014,Eden Gardens, Kolkata
451,48th match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Night,Mumbai Indians,Field,Kings XI Punjab,156,Mumbai Indians,159,Mumbai Indians,7 wickets,2014,Punjab Cricket Association Stadium, Mohali
452,49th match,"Eden Gardens, Kolkata",Evening,Royal Challengers Bangalore,Field,Kolkata Knight Riders,195,RCB,165,Kolkata Knight Riders,30 runs,2014,Eden Gardens, Kolkata
453,50th match,"JSCA International Stadium Complex, Ranchi",Night,Sunrisers Hyderabad,Field,Chennai Super Kings,185,Sunrisers Hyderabad,189,Sunrisers Hyderabad,6 wickets,2014,JSCA International Stadium Complex, Ranchi
454,51st match,"Wankhede Stadium, Mumbai",Evening,Delhi Daredevils,Field,Mumbai Indians,173,Delhi Daredevils,158,Mumbai Indians,15 runs,2014,Wankhede Stadium, Mumbai
455,52nd match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Night,Rajasthan Royals,Field,Kings XI Punjab,179,Rajasthan Royals,163,Kings XI Punjab,16 runs,2014,Punjab Cricket Association Stadium, Mohali
456,53rd match,"M Chinnaswamy Stadium, Bangalore",Evening,Chennai Super Kings,Field,RCB,154,Chennai Super Kings,160,Chennai Super Kings,8 wickets,2014,M Chinnaswamy Stadium, Bangalore
457,54th match,"Eden Gardens, Kolkata",Night,Kolkata Knight Riders,Field,Sunrisers Hyderabad,160,Kolkata Knight Riders,161,Kolkata Knight Riders,4 wickets,2014,Eden Gardens, Kolkata
458,55th match,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Evening,Kings XI Punjab,Field,Delhi Daredevils,115,Kings XI Punjab,119,Kings XI Punjab,7 wickets,2014,Punjab Cricket Association Stadium, Mohali
459,56th match,"Wankhede Stadium, Mumbai",Night,Mumbai Indians,Field,Rajasthan Royals,189,Mumbai Indians,195,Mumbai Indians,5 wickets,2014,Wankhede Stadium, Mumbai
460,Qualifier 1,"Eden Gardens, Kolkata",Evening,Kings XI Punjab,Field,Kolkata Knight Riders,163,Kings XI Punjab,135,Kolkata Knight Riders,28 runs,2018,Eden Gardens, Kolkata
461,Eliminator,"Brabourne Stadium, Mumbai",Night,Chennai Super Kings,Field,Mumbai Indians,173,Chennai Super Kings,176,Chennai Super Kings,7 wickets,2014,Brabourne Stadium, Mumbai
462,Qualifier 2,"Wankhede Stadium, Mumbai",Night,Chennai Super Kings,Field,Kings XI Punjab,226,Chennai Super Kings,202,Kings XI Punjab,24 runs,2014,Wankhede Stadium, Mumbai
463,Final,"M Chinnaswamy Stadium, Bangalore",Night,Kolkata Knight Riders,Field,Kings XI Punjab,199,Kolkata Knight Riders,200,Kolkata Knight Riders,3 wickets,2014,M Chinnaswamy Stadium, Bangalore
464,1st match,"Eden Gardens, Kolkata",Night,Kolkata Knight Riders,Field,Mumbai Indians,168,Kolkata Knight Riders,170,Kolkata Knight Riders,7 wickets ,2015,Eden Gardens, Kolkata
465,2nd match,"MA Chidambaram Stadium,Chennai, Chennai",Night,Delhi Daredevils,Field,Chennai Super Kings,150,Delhi Daredevils,149,Chennai Super Kings,1 run,2015,MA Chidambaram Stadium,Chennai
466,3rd match,"Maharashtra Cricket Association Stadium, Pune",Night,Kings XI Punjab,Field,Rajasthan Royals,162,Kings XI Punjab,136,Rajasthan Royals,26 runs,2015,Maharashtra Cricket Association Stadium, Pune
467,4th match,"MA Chidambaram Stadium,Chennai, Chennai",Evening,Chennai Super Kings,Bat,Chennai Super Kings,209,Sunrisers Hyderabad,164,Chennai Super Kings,45 runs,2015,MA Chidambaram Stadium,Chennai
468,5th match,"Eden Gardens, Kolkata",Night,Royal Challengers Bangalore,Field,Kolkata Knight Riders,177,RCB,179,Royal Challengers Bangalore,3 wickets ,2015,Eden Gardens, Kolkata
469,6th match,"Feroz Shah Kotla, Delhi",Evening,Rajasthan Royals,Field,Delhi Daredevils,184,Rajasthan Royals,186,Rajasthan Royals,3 wickets ,2015,Feroz Shah Kotla, Delhi
470,7th match,"Wankhede Stadium, Mumbai",Night,Mumbai Indians,Field,Kings XI Punjab,177,Mumbai Indians,159,Kings XI Punjab,18 runs,2015,Wankhede Stadium, Mumbai
471,8th match,"M Chinnaswamy Stadium, Bangalore",Night,Sunrisers Hyderabad,Field,RCB,166,Sunrisers Hyderabad,172,Sunrisers Hyderabad,8 wickets ,2015,M Chinnaswamy Stadium, Bangalore
472,9th match,"Sardar Patel Stadium, Motera, Ahmedabad",Night,Mumbai Indians,Bat,Mumbai Indians,164,Rajasthan Royals,165,Rajasthan Royals,7 wickets ,2015,Sardar Patel Stadium, Motera
473,10th match,"Maharashtra Cricket Association Stadium, Pune",Night,Kings XI Punjab,Bat,Kings XI Punjab,165,Delhi Daredevils,169,Delhi Daredevils,5 wickets ,2015,Maharashtra Cricket Association Stadium, Pune
474,11th match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Night,Rajasthan Royals,Field,Sunrisers Hyderabad,127,Rajasthan Royals,131,Rajasthan Royals,6 wickets ,2015,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam
475,12th match,"Wankhede Stadium, Mumbai",Night,Mumbai Indians,Bat,Mumbai Indians,183,Chennai Super Kings,189,Chennai Super Kings,6 wickets ,2015,Wankhede Stadium, Mumbai
476,13th match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Evening,Delhi Daredevils,Bat,Delhi Daredevils,167,Sunrisers Hyderabad,163,Delhi Daredevils,4 runs,2015,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam
477,14th match,"Maharashtra Cricket Association Stadium, Pune",Night,Kolkata Knight Riders,Field,Kings XI Punjab,155,Kolkata Knight Riders,159,Kolkata Knight Riders,4 wickets ,2015,Maharashtra Cricket Association Stadium, Pune
478,15th match,"Sardar Patel Stadium, Motera, Ahmedabad",Evening,Chennai Super Kings,Bat,Chennai Super Kings,156,Rajasthan Royals,157,Rajasthan Royals,8 wickets ,2015,Sardar Patel Stadium, Motera
479,16th match,"M Chinnaswamy Stadium, Bangalore",Night,Royal Challengers Bangalore,Field,Mumbai Indians,209,RCB,191,Mumbai Indians,18 runs,2015,M Chinnaswamy Stadium, Bangalore
480,17th match,"Feroz Shah Kotla, Delhi",Night,Kolkata Knight Riders,Field,Delhi Daredevils,146,Kolkata Knight Riders,147,Kolkata Knight Riders,6 wickets ,2015,Feroz Shah Kotla, Delhi
481,18th match,"Sardar Patel Stadium, Motera, Ahmedabad",Night,Kings XI Punjab,Field,Rajasthan Royals,191,Kings XI Punjab,191,Match tied ,Match tied ,2015,Sardar Patel Stadium, Motera
482,19th match,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Evening,Kolkata Knight Riders,Field,Sunrisers Hyderabad,176,Kolkata Knight Riders,101,Sunrisers Hyderabad,16 runs ,2015,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam
483,20th match,"M Chinnaswamy Stadium, Bangalore",Night,Royal Challengers Bangalore,Field,Chennai Super Kings,181,RCB,154,Chennai Super Kings,27 runs,2015,M Chinnaswamy Stadium, Bangalore
484,21st match,"Feroz Shah Kotla, Delhi",Night,Mumbai Indians,Field,Delhi Daredevils,190,Mumbai Indians,153,Delhi Daredevils,37 runs,2015,Feroz Shah Kotla, Delhi
485,22nd match,"Sardar Patel Stadium, Motera, Ahmedabad",Night,Royal Challengers Bangalore,Field,Rajasthan Royals,130,RCB,134,Royal Challengers Bangalore,9 wickets ,2015,Sardar Patel Stadium, Motera
486,23rd match,"Wankhede Stadium, Mumbai",Evening,Mumbai Indians,Bat,Mumbai Indians,157,Sunrisers Hyderabad,137,Mumbai Indians,20 runs,2015,Wankhede Stadium, Mumbai
