,Match_number,Match_venue,Match_time,Toss_winner,Toss_decision,Team1,Team1_score,Team2,Team2_score,Winning_team,Winning_margin,year,Stadium,City
587,4th match,"Holkar Cricket Stadium, Indore",Evening,Kings XI Punjab,Field,Pune Warriors,163,Kings XI Punjab,164,Kings XI Punjab,6 wickets ,2017,Holkar Cricket Stadium, Indore
588,5th match,"M Chinnaswamy Stadium, Bangalore",Night,Royal Challengers Bangalore,Bat,RCB,157,Delhi Daredevils,142,Royal Challengers Bangalore,15 runs,2017,M Chinnaswamy Stadium, Bangalore
589,6th match,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Evening,Sunrisers Hyderabad,Field,Gujarat Lions,135,Sunrisers Hyderabad,140,Sunrisers Hyderabad,9 wickets ,2017,Rajiv Gandhi International Stadium, Uppal
590,7th match,"Wankhede Stadium, Mumbai",Night,Mumbai Indians,Field,Kolkata Knight Riders,178,Mumbai Indians,180,Mumbai Indians,4 wickets ,2017,Wankhede Stadium, Mumbai
591,8th match,"Holkar Cricket Stadium, Indore",Night,Royal Challengers Bangalore,Bat,RCB,148,Kings XI Punjab,150,Kings XI Punjab,8 wickets ,2017,Holkar Cricket Stadium, Indore
592,9th match,"Maharashtra Cricket Association Stadium, Pune",Night,Pune Warriors,Field,Delhi Daredevils,205,Pune Warriors,108,Delhi Daredevils,97 runs,2017,Maharashtra Cricket Association Stadium, Pune
593,10th match,"Wankhede Stadium, Mumbai",Night,Mumbai Indians,Field,Sunrisers Hyderabad,158,Mumbai Indians,159,Mumbai Indians,4 wickets ,2017,Wankhede Stadium, Mumbai
594,11th match,"Eden Gardens, Kolkata",Night,Kolkata Knight Riders,Field,Kings XI Punjab,170,Kolkata Knight Riders,171,Kolkata Knight Riders,8 wickets ,2017,Eden Gardens, Kolkata
595,12th match,"M Chinnaswamy Stadium, Bangalore",Evening,Mumbai Indians,Field,RCB,142,Mumbai Indians,145,Mumbai Indians,4 wickets ,2017,M Chinnaswamy Stadium, Bangalore
596,13th match,"Saurashtra Cricket Association Stadium, Rajkot",Night,Gujarat Lions,Field,Pune Warriors,171,Gujarat Lions,172,Gujarat Lions,7 wickets ,2017,Saurashtra Cricket Association Stadium, Rajkot
